"","Fold.change","Gene"
"963",0.452137726375228,"MAP1LC3B2"
"964",0.480444551886395,"RAB11FIP3"
"966",0.0184659339423021,"C2CD5"
"967",0.26459596032266,"TBC1D17"
"969",0.564792762894813,"PLEKHB2"
"971",0.340179329175581,"BGLAP"
"972",0.489603815229452,"SGK3"
"976",0.239414100251038,"DIS3"
"978",0.340780797722692,"NELFE"
"982",0.467729904688182,"SLC29A3"
"984",0.490402924423131,"FUT11"
"985",0.278550905098676,"VPS51"
"990",0.430946385828586,"HSPA9"
"991",0.107459750304516,"RBM39"
"994",0.172815345301569,"PEX5"
"997",0.000582834500004736,"TRIP4"
"999",0.561503672062756,"NRBP1"
"1003",0.0568320525086623,"EIF2B3"
"1007",0.0800886706633923,"DACT1"
"1010",0.526446842865363,"PDGFRB"
"1013",0.414602506110635,"EXOC8"
"1018",0.220093910467941,"STRADB"
"1020",0.465439428827477,"ACSL3"
"1025",0.0738842801664585,"CMTR1"
"1027",0.242727190497555,"NEDD8-MDP1"
"1028",0.00116094485825879,"PCDHA4"
"1031",0.574916319235609,"ZHX3"
"1032",0.55505568219356,"DUT"
"1036",0.0313055595720622,"PRRG2"
"1039",0.0783750366811944,"ZNF223"
"1040",0.244448606669561,"PI4K2A"
"1044",0.501075817981348,"GRID2IP"
"1045",0.256072825920077,"PGGT1B"
"1047",0.254565379878789,"SERPINB8"
"1049",0.116945056142907,"IP6K2"
"1051",0.538137526763322,"REEP1"
"1052",0.230801315662458,"IFIH1"
"1054",0.277059472190642,"CREBZF"
"1059",0.42746565747079,"ZNF736"
"1062",0.476902754863703,"ZNF594"
"1065",0.187491620134422,"PIBF1"
"1068",0.233728688597487,"PLCB4"
"1070",0.474464834771121,"CTC-236F12.4"
"1073",0.313262660618545,"PSKH1"
"1074",0.571135824158855,"TSPYL1"
"1078",0.32378490870023,"ATE1"
"1084",0.446901261516012,"BTBD8"
"1087",0.516068483493052,"PPP1R2"
"1088",0.163974666086675,"TAF10"
"1089",0.185639263970691,"RPS6"
"1090",0.239138149988603,"RP11-565P22.6"
"1092",0.415616760102457,"PDSS2"
"1096",0.271827371724772,"DOC2A"
"1098",0.0570356406471717,"MTHFD2L"
"1100",0.15426098011573,"KLF3"
"1102",0.432001660345676,"PDE10A"
"1103",0.27873049272114,"GALE"
"1104",0.212842215950428,"GOSR2"
"1105",0.0120229269675329,"AL353354.2"
"1107",0.146344566388094,"LYRM7"
"1110",0.377749766486827,"VMP1"
"1114",0.187020796492071,"STK25"
"1119",0.436800849361459,"PGS1"
"1121",0.090471678168992,"IGSF9B"
"1124",0.250101157179296,"WDR83OS"
"1127",0.469884519399215,"TIGD7"
"1133",0.538677584072953,"MBOAT7"
"1134",0.218425032608017,"NGLY1"
"1137",0.180531285269797,"SESN2"
"1138",0.394901612210507,"DNAJC11"
"1139",0.523301246223587,"VOPP1"
"1140",0.215040567653293,"PBDC1"
"1141",0.249249842890507,"GLTPD1"
"1142",0.397004920389242,"UTS2"
"1146",0.11434142479559,"A1BG"
"1147",0.379441077763024,"MOK"
"1148",0.321112576400907,"WDR11"
"1152",0.146882050754883,"GLTSCR1"
"1157",0.00963256396154133,"SIGLEC10"
"1159",0.130146351681139,"DCTD"
"1160",0.554579833455583,"NACAD"
"1161",0.103673067236612,"MEAF6"
"1163",0.392285601736328,"GGA3"
"1164",0.389692009224236,"DNAJC13"
"1165",0.450654239478567,"SLC25A37"
"1166",0.0362889304198628,"BUD13"
"1168",0.0326482727650834,"DOT1L"
"1170",0.226171841719176,"FAM211B"
"1171",0.151946634574124,"IFRG15"
"1172",0.0307172258703883,"TTC23"
"1177",0.159043350441145,"UBR3"
"1183",0.554663625183525,"C8orf47"
"1184",0.230635123186408,"CDH11"
"1185",0.0844312163857621,"ZNF221"
"1186",0.27817631419075,"C9orf16"
"1189",0.48349755333588,"AC062017.1"
"1191",0.373488617352695,"BRPF1"
"1192",0.110578454237793,"ARSG"
"1193",0.0172755637458302,"IRF7"
"1196",0.16959365961326,"RNF169"
"1200",0.0999689005684345,"MUS81"
"1201",0.404181214416217,"GNL3L"
"1203",0.209009734605137,"RLN1"
"1204",0.095759977939073,"CCDC97"
"1206",0.0226233522567014,"PRKAA1"
"1207",0.459094259455043,"CSPP1"
"1209",0.127114090546618,"C16orf80"
"1210",0.115017759976924,"KCTD20"
"1211",0.212159571470149,"PARN"
"1212",0.361176128248843,"DECR2"
"1216",0.337211136592143,"LENG1"
"1217",0.354846962330816,"POLR3F"
"1220",0.0713808427008127,"RANBP17"
"1221",0.470556723332875,"XKR6"
"1222",0.0522415951082422,"ATG12"
"1224",0.140463183258581,"C4orf36"
"1225",0.267979502563001,"CLK3"
"1226",0.550456173314348,"UGT2B15"
"1227",0.380245179439197,"ERMAP"
"1228",0.163364228254119,"SLC12A6"
"1233",0.194703353008185,"TRAPPC6A"
"1234",0.572666996738125,"PBLD"
"1235",0.28047229918932,"PURB"
"1237",0.156673491963099,"MED22"
"1239",0.514030483295247,"ISG20"
"1240",0.528145987885187,"STYXL1"
"1242",0.149064380819284,"ZNF853"
"1243",0.0551893084380515,"SPATA12"
"1244",0.244021091858626,"LMTK3"
"1245",0.310073686199391,"C17orf82"
"1246",0.193156120034776,"SPIN4"
"1255",0.000917539124031919,"RPS12"
"1257",0.397238795746583,"BAIAP2"
"1258",0.355952287583697,"ADAMTS5"
"1259",0.265738978848994,"FOXP2"
"1262",0.432916333957866,"CCNC"
"1263",0.101277070617341,"PRKRIR"
"1265",0.226499170227575,"ARRDC1"
"1266",0.103461562410494,"HDDC3"
"1270",0.329271825441184,"WDR54"
"1274",0.275457902898777,"ECE1"
"1276",0.551732362838044,"ZNF418"
"1277",0.2572141095853,"MESDC2"
"1279",0.347036768817889,"CDC20B"
"1282",0.375940631267801,"PPWD1"
"1284",0.54733958766893,"C16orf93"
"1285",0.020863400191736,"ABCB8"
"1289",0.366085176175695,"RSPO3"
"1290",0.348273095566297,"BLVRB"
"1292",0.341226800421719,"MBNL3"
"1293",0.0715212536867575,"DAAM1"
"1294",0.288083568004861,"IER3IP1"
"1296",0.057457852755153,"MLLT10"
"1299",0.333781715861528,"TXNDC9"
"1300",0.35117238096587,"LMAN2L"
"1306",0.00116463570883063,"RBM33"
"1310",0.0925832192418099,"CCNT2"
"1311",0.168501290447132,"DYNLRB1"
"1313",0.0219446256533748,"INTU"
"1314",0.0923676074311661,"PPOX"
"1318",0.299587649024032,"SZT2"
"1320",0.153627513177722,"CCDC122"
"1322",0.287440169413247,"BACH2"
"1323",0.579722901200415,"EQTN"
"1324",0.191012434139917,"TBC1D19"
"1325",0.420357265056417,"CUL2"
"1326",0.34252115028874,"UBBP4"
"1328",0.491711451093757,"ARMCX3"
"1329",0.0613204686848157,"VPS33B"
"1330",0.457033520524445,"SLC25A18"
"1332",0.0225045635482033,"CRAT"
"1339",0.556446196238817,"SUPV3L1"
"1342",0.191191518353305,"C17orf47"
"1344",0.072235468674867,"RIMKLB"
"1346",0.265449484284934,"LIN7C"
