"","CNV_20q","CNV_20p","CNV_Xq11.2","CNV_14q","CNV_17q24.3","CNV_7q36.3","CNV_12p","CNV_12q","CNV_7q","CNV_7p","CNV_9q","CNV_3p21.32","CNV_10p","CNV_10q","CNV_16p","CNV_16q","CNV_22q","CNV_1q","CNV_1p","CNV_14q31.1","CNV_3q26.32","CNV_8p23.2","CNV_3q","CNV_3p","CNV_5q","CNV_5p","CNV_1q43","CNV_Xq23","CNV_4q34.3","CNV_18q","CNV_8q24.22","CNV_1q24.1","CNV_2q37.3","CNV_17p","CNV_15q","CNV_9p21.3","CNV_21q","CNV_13q13.3","CNV_19q","CNV_19p","CNV_6q26","CNV_6p","CNV_6q","CNV_13q","CNV_Xp22.2","CNV_11q","CNV_11p","CNV_1q32.1","CNV_8p","CNV_8q","CNV_17q","CNV_3p25.3","CNV_5q35.1","CNV_Xq","CNV_2p","CNV_2q","CNV_1p36.23","CNV_1p31.1","CNV_10p14","CNV_4p","CNV_4q","CNV_4q32.1","CNV_10q23.31","CNV_9p23","CNV_3p12.2","CNV_3q11.2","CNV_Xp11.4","CNV_9p","CNV_18p"
"TCGA.CJ.5679",0.433,0.433,-0.033132,-0.472,-0.023292,1.3464,0.467,0.467,1.334,1.334,-0.477,-0.46323,0,0,0.436,0.436,0,0.485,0.026,-0.47205,-0.46323,-0.17619,-0.463,-0.463,0.855,0.855,0.47255,-0.033132,-0.28917,-0.454,-0.17904,0.48548,0.0020805,0,0,-0.47702,0.481,-0.466,0,0,-0.48256,-0.472,-0.472,-0.466,-0.033132,0,0,0.48548,-0.176,-0.176,0,-0.46323,0.82213,0,0,0,-0.48292,-0.48292,0,-0.333,-0.333,-0.33283,0.0015655,-1.0155,-0.46323,-0.46323,-0.033132,-0.477,-0.454
"TCGA.B0.5711",0,0,-0.020275,-0.5,-0.0013174,0.010285,0,0,0,0,0,-0.60448,0,0,0,0,0,0,0,-0.49965,0.0059843,-0.0071958,0,-0.604,0,0,0,-0.020275,-0.01037,0,-0.0071958,0,0.0091705,0,0,-0.0085766,0,-0.0085766,0,0,-0.021921,0,0,0,-0.020275,0,0,0,0,0,0,-0.60448,0.58668,0,0,0,0,0,-0.022881,0,0,-0.01037,-0.028491,-0.0085766,0.00597,0.00597,-0.020275,0,0
"TCGA.CJ.5677",0,0,-0.1025,-0.55,0.016845,0.51978,0,0,0.52,0,-0.544,-0.56077,0,0,0,0,0,0,0,-0.54985,0.015447,-0.25817,0,-0.561,0,0,0.007321,-0.1025,-0.12252,-0.535,0.25261,0.007321,-0.007472,-0.534,-0.226,-1.1065,0,-0.14592,0,0,0.00597,0,0,-0.146,-0.089903,0,0,0.007321,-0.022,0.236,0,-0.56077,-0.005013,-0.102,0,0,0.03863,0.007321,0.0044411,-0.124,-0.124,-0.12252,0.0044411,-0.55387,-0.56077,0.015447,-0.1025,-0.544,-0.535
"TCGA.B0.5712",0,0,-0.010339,-0.758,0.026826,-0.0073027,0,0,0,0,0,-0.2709,0,0,0,0,0,0,0,-0.75821,0.22981,-0.76499,-0.047,-0.273,0.74,0.74,0.0040556,-0.010339,-0.025468,0,-0.011442,0.0040556,0.0082661,0,0,-0.0042001,0,-0.01239,0,0,-0.011993,0,0,0,-0.010339,0,0,0.0040556,-0.743,0,0,-0.27341,0.73657,0,0,0,0.0040556,0.0040556,0.01185,0,0,-0.025468,-0.0058456,-0.0042001,-0.28033,0.22842,-0.010339,0,0
"TCGA.CJ.5672",0,0,0.010424,-0.512,0,-0.051181,0,0,0.517,0.517,0,-0.57358,0,0,0.417,0.417,0,0,0,-0.51177,0.0012247,-0.57568,0,-0.574,0,0,0.0091924,0.015028,0.0030014,0,0.017544,0.001803,0.49355,0,0,-0.0016629,0,-0.0049844,0,0,0.0055529,0,0,0,0.010424,0,0,0.001803,-0.541,0,0,-0.57358,0.54431,0,0.494,0.494,-0.0034069,-0.0034069,-0.0056757,0,0,0.0030014,-0.0056757,-0.0016629,-0.56326,0.0058309,0.010424,0,0
"TCGA.CJ.5681",0,0,-0.64358,0,0.019503,-0.0037395,0,0,0,0,0,-0.85543,0,0,0,0,0,0,0,0.0015152,0.0043021,-0.0067813,0,0,0,0,-0.0033068,0.18614,0.00013863,0,0.00055459,0,0.0114,0,0,-0.0029091,0,0.0029133,0,0,0.0038854,0,0,0,0.31434,0,0,0,0,0,0,0.0044411,-0.00024055,0.322,0,0,0,0,-0.010094,0,0,0.00013863,-0.010094,-0.0029091,-0.84835,0.0043021,0.31434,0,0
"TCGA.CJ.5680",0,0,-0.10533,-0.687,0.00055459,-0.0015243,0,0,0,0,-0.677,-0.68551,0,0,0,0,0,0,0,-0.68688,0.0054852,-0.0012473,0,0,0,0,0.0063871,-0.10533,0.0019418,0,0.001803,0.0048463,0.00014575,0,0,-0.6772,0,0.00083195,0,0,0.023286,0,0,0,-0.10533,0,0,0.0063871,0,0,0,-0.6935,0.0029133,-0.105,0,0,-0.0040984,0,-0.0048507,0,0,0.0019418,-0.0026322,-0.6772,0.0054852,0.0054852,-0.10533,-0.677,0
"TCGA.CJ.5689",0,0,-0.05752,-0.272,0.013772,0.035806,0,0,0,0,-0.166,-0.4197,0,0,0,0,-0.177,0,0,-0.272,-0.4197,-0.34973,-0.42,-0.42,0,0,0,-0.05752,0.033267,0,-0.34973,0,0.011958,0,0,-0.16612,-0.112,0.3361,0,0,-0.064777,0,0,0.336,-0.05752,0,0,0,-0.35,-0.35,0,-0.4197,0.042732,0,0,0,0,0,-0.078544,0,0,0.033267,-0.078544,-0.16612,-0.4197,-0.4197,-0.05752,-0.166,0
"TCGA.CW.6088",0,0,-0.069642,0,-0.03031,0.023101,0,0,0,0,0,-0.52587,0,0,0,0,0,0,0,-0.0036447,0.010241,-0.52566,0,-0.526,0,0,0,-0.069642,0.014565,0,-0.52566,0,0.0046752,0,0,-0.0028143,0,0.0088482,0,0,0.003425,0,0,0,-0.069642,0,0,0,-0.526,-0.526,0,-0.52587,0.011077,0,0,0,-0.012481,-0.012481,-0.0033679,0,0,0.014565,-0.0033679,-0.0028143,-0.52587,-0.52587,-0.069642,0,0
"TCGA.CZ.5986",0,0,-0.063874,0,-0.021921,0.0090312,0,0,0,0,0,-0.64543,0,0,0,0,0,0,0,-0.0049844,-0.63821,-0.70076,-0.645,-0.645,0.649,0.649,0,-0.063874,0.016705,0,-0.6565,0,0.00597,0,0,-0.0053992,0,0.0081959,0,0,0.012516,0,0,0,-0.10224,0,0,0,-0.656,-0.656,0,-0.66012,0.65057,0,0,0,0,0,-0.0011087,0,0,0.016705,-0.0011087,-0.0053992,-0.64543,-0.64543,-0.063874,0,0
"TCGA.CZ.5987",0,0,-0.14811,-0.666,-0.027124,0.010193,0.504,0.504,0,0,-0.663,-0.61316,0,0,0,0,0,0,0,-0.66578,-0.61316,-0.12252,-0.613,-0.613,0,0,0.01419,-0.14811,0.033127,0,0.12789,0.01419,-0.00877,0,0,-0.66337,0,0.010888,0,0,-0.65854,-0.659,-0.659,0,-0.14811,0,0,0.01419,0.003,0.125,0,-0.66105,0.015616,-0.148,0,0,0.01419,0.01419,0.028341,0,0,0.033127,-0.043203,-0.66337,-0.61316,-0.61316,-0.14811,-0.663,0
