"","Fold.change","Gene"
"844",0.0550964714950943,"SFPQ"
"846",0.0781372435464771,"ANAPC5"
"847",0.340839677636341,"HAUS3"
"848",0.106091339050443,"PUS10"
"850",0.0708615222366298,"KCTD7"
"855",0.138049080716813,"CSRNP2"
"856",0.344309301156514,"MAML1"
"857",0.495727705385616,"GALNT13"
"858",0.248525208751365,"SRP14"
"860",0.0219163740499848,"ZNF740"
"862",0.221605568281279,"P2RY4"
"865",0.252002604163208,"ATP9B"
"867",0.129411928820987,"RNASEH2C"
"869",0.520930306294533,"MRGBP"
"870",0.0589051960468874,"ATP8B2"
"871",0.217496957206333,"FYTTD1"
"872",0.537144357489678,"CYLD"
"873",0.234573578069009,"MAPK1"
"877",0.346787311548118,"ZNF506"
"880",0.373206330160654,"SMOC1"
"882",0.53046377314187,"PODXL2"
"883",0.207843755010213,"GPR116"
"884",0.513987786388931,"ASRGL1"
"888",0.200353966222389,"TMLHE"
"889",0.00479887883355623,"RHBDD1"
"892",0.0145844599688534,"RFX5"
"894",0.45754142346288,"NRAP"
"895",0.401839911099181,"CTTNBP2"
"901",0.240142672420253,"PGPEP1"
"904",0.212810868624782,"U2AF1"
"905",0.508971644791046,"IDS"
"907",0.301764567796947,"TMEM217"
"908",0.227607616775588,"SNX9"
"910",0.517429580151473,"ANTXR1"
"911",0.359079695719089,"POU3F3"
"912",0.385567338296516,"GNG12"
"913",0.380622089146386,"LHB"
"916",0.262746716721574,"ZNF26"
"917",0.156990551781378,"NOP58"
"919",0.260244406640558,"KBTBD3"
"920",0.480325964447533,"CCDC65"
"921",0.0789220560557613,"MARK2"
"922",0.153919536758433,"GRSF1"
"925",0.184843789003411,"INTS7"
"926",0.211776841056036,"PSMB5"
"927",0.00918524108230123,"CHRAC1"
"930",0.133581298901476,"ZNF346"
"931",0.0259722508578601,"UBALD2"
"932",0.464460842591528,"RARS"
"935",0.50375057423401,"C5orf45"
"936",0.330750097765728,"TMEM115"
"937",0.439776010549433,"IGF2BP1"
"938",0.184641662629696,"RFT1"
"939",0.0157603243136384,"RNASEL"
"941",0.231033643715003,"ARL1"
"943",0.210219081436918,"DCAF6"
"945",0.0899032927471612,"MED12"
"948",0.43570095398494,"UBA1"
"949",0.220440597662386,"E2F3"
"950",0.210911946449536,"LHX4"
"951",0.0186019416162013,"ABCC10"
"953",0.296792441201605,"TEX22"
"956",0.0857491874678242,"TSC2"
"957",0.358673787341223,"ZNF280B"
"958",0.0381078648770092,"NSRP1"
"959",0.0797697001283773,"MTPN"
"960",0.182111349448196,"ZNF350"
"961",0.102917382729402,"SLC4A1AP"
"962",0.0371737419150682,"LTN1"
"963",0.0933596603734905,"STOML2"
"966",0.527604035399655,"ZBED1"
"968",0.135556664369338,"TATDN1"
"969",0.11095865199106,"MAT2B"
"970",0.29364054906837,"SHC4"
"973",0.298937270787121,"TPRA1"
"978",0.285575267509646,"C11orf74"
"979",0.508865946834957,"WNT6"
"980",0.16793243728757,"MYH9"
"982",0.199912347394831,"MGST2"
"986",0.0401519716268659,"SNX6"
"987",0.544772415050309,"LRRC8B"
"989",0.0926831164944826,"PCNXL3"
"990",0.00434331781290709,"PAPLN"
"991",0.0462499576994482,"SLC22A18AS"
"993",0.110795597184286,"POLR2B"
"995",0.387734004827829,"F2RL1"
"996",0.0625998477350986,"IDE"
"999",0.207008096175384,"MRPL39"
"1000",0.366430234008948,"MSTO1"
"1001",0.184373264266933,"DKK2"
"1002",0.540801959448033,"LRRIQ4"
"1003",0.326622435311728,"GPSM1"
"1006",0.255986386869791,"IGSF8"
"1007",0.116435087868311,"DPH2"
"1008",0.0525087954352408,"VPS33B"
"1015",0.277904346789677,"VPS13C"
"1016",0.550107854494532,"C3orf14"
"1017",0.214045242203002,"CNIH3"
"1019",0.0863226086118196,"TYSND1"
"1023",0.253387888197206,"ARMCX1"
"1024",0.319982427061161,"GNG10"
"1027",0.228695723815301,"ZNF891"
"1028",0.0362056256896182,"ZNF302"
"1030",0.411714979601122,"RAMP3"
"1034",0.466626378714399,"NANOS3"
"1035",0.336787219607666,"PAPD5"
"1036",0.0554681497491095,"POU4F3"
"1038",0.492116166397904,"SUMO4"
"1039",0.253729194402935,"VEZT"
"1041",0.373249063014642,"OGFOD2"
"1042",0.324073543301523,"OFD1"
"1043",0.04110760323994,"TMEM222"
"1044",0.0704280171948994,"SLC25A16"
"1045",0.00124667714143545,"ZNF256"
"1046",0.0648791965073769,"SAMM50"
"1050",0.568332766731983,"CLCC1"
"1051",0.40508151923815,"BCL3"
"1052",0.0529563542676446,"TNRC6A"
"1053",0.467321531857636,"NAA30"
"1054",0.553231558476202,"AC006547.14"
"1056",0.286201903852342,"FBXL3"
"1057",0.0853830131187348,"PNPLA2"
"1060",0.405298293473434,"EIF2S3L"
"1061",0.347490406404336,"SMAD4"
"1065",0.581608571910351,"SPNS1"
"1066",0.265033174192606,"FBXW7"
"1067",0.26468707588549,"PPP5C"
"1070",0.219685933956621,"SMN1"
"1071",0.212720061524399,"DHFR"
"1072",0.399704713061556,"PCNXL4"
"1075",0.555066812482399,"SUV420H2"
"1077",0.154968541142539,"SNRPB2"
"1078",0.573481510063264,"DARS2"
"1079",0.00458100381091242,"ZNF799"
"1080",0.265601316267681,"STRAP"
"1082",0.0620031782140611,"CTTN"
"1083",0.0380577697951594,"SPATA9"
"1084",0.198285369084466,"OSGIN2"
"1086",0.168249955383129,"DKFZP779L1853"
"1089",0.387563532183805,"COX7A2L"
"1090",0.359561845882048,"KAT2A"
"1091",0.15276978799269,"ZNF264"
"1092",0.0904437271209559,"ANKIB1"
"1093",0.0121515498469433,"RBM14-RBM4"
"1095",0.122527446068814,"MCM3"
"1096",0.481787631878889,"UCN2"
"1098",0.103136037390781,"RNPS1"
"1099",0.283163077968855,"SESN1"
"1100",0.547037757153787,"PZP"
"1101",0.16208009435775,"PPP3CC"
"1102",0.306901775747742,"HMCN2"
"1106",0.00626301160680853,"WIPF2"
"1107",0.11395140219833,"USP1"
"1108",0.512854444039761,"FES"
"1109",0.0475917949287243,"ZNF561"
"1110",0.381952214120261,"ST6GALNAC6"
"1111",0.35643502492979,"TUBB1"
"1117",0.0979176690118493,"NPLOC4"
"1118",0.436860343905258,"NACC2"
"1120",0.2228036567898,"SMOC2"
"1122",0.379325884204432,"ATP5SL"
"1125",0.152683854081565,"PWP2"
"1126",0.254670070615264,"PLAA"
"1128",0.190913921825199,"TOP3B"
"1129",0.0376301683697218,"TMEM19"
"1130",0.455011637570554,"AP5B1"
"1131",0.065694784408584,"COLEC10"
"1134",0.317663835907597,"STRADA"
"1135",0.527578891292739,"PPP2R3A"
"1136",0.206699263047403,"CCDC82"
"1137",0.0446977469318881,"DENND1C"
"1138",0.564401480207295,"MIPEP"
"1140",0.274878395772195,"ZMYM1"
"1144",0.0763183677265804,"SLCO3A1"
"1146",0.282460854167667,"B3GAT3"
"1148",0.415681191002157,"C10orf131"
"1149",0.0494794642889964,"ETHE1"
"1152",0.0305223323367692,"TMEM223"
"1154",0.459720629956141,"CHN1"
"1155",0.189247298580813,"ARSK"
"1156",0.059795500846338,"CAMTA2"
"1158",0.521591729400734,"STX10"
"1159",0.132939170959318,"AC119673.1"
"1161",0.235738729992699,"CIZ1"
"1165",0.0710715102170276,"AP4B1"
"1166",0.110422583709184,"GTF3C2"
"1171",0.472113597499082,"GFRA2"
"1172",0.447448744819148,"GTF2H5"
"1175",0.204401829504334,"SURF6"
"1176",0.512358500625393,"C10orf62"
"1178",0.305721162159044,"LIN7C"
"1180",0.0765790226238714,"MTMR6"
"1184",0.0623325754384911,"CRK"
"1185",0.282783286376077,"MRPL2"
"1188",0.573641208318527,"GNL2"
"1190",0.143308796665847,"CRY2"
"1192",0.0183396826408497,"CFI"
"1194",0.406070476598604,"TRAF5"
"1195",0.230957946078869,"GCLC"
"1198",0.158786606748569,"FAM120A"
"1199",0.177946668682271,"SPR"
"1200",0.420307796373558,"KDELR2"
"1202",0.30225784398538,"BET1"
"1203",0.491348731344881,"C2orf42"
"1204",0.0619015950358124,"CCDC77"
"1207",0.291615906407145,"BTBD1"
"1210",0.174198786987695,"ESCO1"
"1211",0.123403133832459,"ATP5E"
"1213",0.433049882946825,"PPP2R1B"
"1214",0.269575773023027,"SNAI2"
"1217",0.0309751126895925,"HERC4"
"1218",0.569482649712524,"ANKRD22"
"1219",0.20201464324388,"AIRE"
"1220",0.0295125382611179,"DDX47"
"1221",0.240094472871245,"FAM86A"
"1223",0.399392131496835,"PACSIN2"
"1224",0.217169335072609,"MGA"
"1225",0.0760880595434559,"UHRF1BP1"
"1227",0.0751205706146241,"ZNF48"
"1228",0.0983285098308464,"VPS35"
"1229",0.39178799934364,"AGK"
"1230",0.12139995695544,"CD47"
"1232",0.57419083179717,"CCDC71L"
"1233",0.0664362054906142,"KDM5B"
"1236",0.314269109570308,"S1PR2"
"1239",0.49941713900059,"CAP2"
"1240",0.448682671735824,"ZBTB37"
"1241",0.250600040131994,"ABI2"
"1242",0.476837813302689,"LENG8"
"1244",0.0619678760771549,"TMEM165"
"1245",0.211936781526377,"USP18"
"1249",0.0470949142646901,"UBE3D"
"1250",0.0906034333847945,"FAM122B"
"1251",0.265602874554302,"ATP10D"
"1252",0.166011472740377,"ZSCAN5A"
"1253",0.250512494150231,"ARMCX3"
"1255",0.389151331108282,"M6PR"
"1257",0.270867248023672,"HMGN2"
"1258",0.051712361774424,"CLTB"
"1260",0.342405528297547,"ARL6IP5"
"1261",0.104088581850286,"SLC25A1"
"1262",0.392006871174065,"RNASEK-C17orf49"
